5	0x1dadb16ceacb6d571350331a278b0fbe18076553		1,036,061.52455823 0xBUTT	 3.14%  OK
6	0x72c957bf4ec133a6f730491a872bb9aa97d97fc7		980,075.46 0xBUTT	 2.97%  NOT
7	0x8412d41fe2a3b659f11f4fcfa265c7423cea8b50		980,000.98 0xBUTT	 2.97% ???
8	0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8		940,973.45369384 0xBUTT	 2.85% ???
9	0x48143ec3aca8a255496e8ee7997591d3335abf5f		829188.78 0xBUTT	 2.54%  OK
10	0xe3ed26c5eedd8b6a8dc779e0bd1c8dbe53655291		102,900.00 0xBUTT	 0.31% WARNING !
11	0x60216a632d79409e9a2c693647fb83877532ca72		100,253.74022877 0xBUTT	 0.3% NOT
12	0x752d4fcd9004f3945ac8ffb514f73a53d49b2874		98,000.00 0xBUTT	 0.3% ???
13	0xf09dcc5874d232cd2ee969cd2939094a9a406a5c		95,307.24220335 0xBUTT	 0.29% NOT
14	0xa219fb3cfae449f6b5157c1200652cc13e9c9ea8		55,390.64902 0xBUTT	 0.17% NOT
15	0xa54d3c09e34ac96807c1cc397404bf2b98dc4efb		54,317.35755211 0xBUTT	 0.16% OK
16	0x3b0535c602078a22a9954209b3556549c4e5e987		38,135.72 0xBUTT	 0.12% OK
17	0xbd37f7f4ad5f2b5997a598e28815450c940036e0		24,678.27972123 0xBUTT	 0.07% ?? OK
18	0x2569bdf5ada376dee5711402f58034cacbd3c020		14,510.36216 0xBUTT	 0.04% OK
19	0xe932b28a59ac2847e9c681210a5a9448556b2a22		12,520.182999 0xBUTT	 0.04% OK
20	0xd020bf04bbc0ed52b21f5d367770047725c80b54		10,770.00 0xBUTT	 0.03%  NOT
21	0x26f9d36d03f0f7efcdd734566d5247f71935be4a		10,563.665 0xBUTT	 0.03% NOT
22	0x493801727c4c20c2225cd9312f6e1f1312e8f56e		10,200.00 0xBUTT	 0.03% ???
23	0x0d2823e04baed5963c29baa21277c9fbb9908233		9,994.04 0xBUTT	 0.03% OK
24	0x43a5ef771f3974935196705cc014afad234084b6		9,800.00 0xBUTT	 0.03% OK
----------------------------------------------------------------------------------------------------
25	0x8a9c00b44bc68debd067fe83b5db4bb953833519		9,705.08 0xBUTT	 0.03%
26	0xda28ca49a432f74517d23ecd2821270ba49418b8		7,761.60 0xBUTT	 0.02%
27	0xc931894d2b127a84b2b849fc2c0c29851c86ed0d		6,845.87612579 0xBUTT	 0.02%
28	0xf8efdd67b0b093df973541596eef0e6fab0ee3c8		4,969.91259608 0xBUTT	 0.02%
29	0xc1b6b71a6c2ae306d3c7a52a0aa3b123cfcf93b8		2,539.38387164 0xBUTT	 0.01%
30	0x388b017a69a505b761f4041547520998a1337fe3		2,537.62580745 0xBUTT	 0.01%
31	0x5814b08a1772f1321243a575c8a0556b954d4212		2,506.07671258 0xBUTT	 0.01%
